"referee","games","name","value","perGame","league_average","zscore","avg_zscore","refDuplicate"
"Sean Corbin",47,"Def. 3 secs",16,0.340425531914894,0.118978400034626,1.86123810553697,0.266135685555513,"Sean Corbin"
"Kane Fitzgerald",41,"Offensive",10,0.24390243902439,0.0885186864460105,1.75537797517083,0.440011681598828,"Kane Fitzgerald"
"David Guthrie",36,"Technical",22,0.611111111111111,0.240835552386347,1.53746220213688,-0.0148083516336128,"David Guthrie"
"Ben Taylor",49,"Offensive",11,0.224489795918367,0.0885186864460105,1.53607238122866,0.477745758715786,"Ben Taylor"
"Ben Taylor",49,"Loose ball",80,1.63265306122449,0.681468775345121,1.39578557417786,0.477745758715786,"Ben Taylor"
"Michael Smith",46,"Def. 3 secs",13,0.282608695652174,0.118978400034626,1.37529413380854,0.109938049766203,"Michael Smith"
"Tony Brothers",47,"Def. 3 secs",13,0.276595744680851,0.118978400034626,1.32475596074879,0.355937372199893,"Tony Brothers"
"Tyler Ford",45,"Technical",24,0.533333333333333,0.240835552386347,1.21451246731946,0.254300662867106,"Tyler Ford"
"Ken Mauer",48,"Def. 3 secs",12,0.25,0.118978400034626,1.10122173375371,0.0206302978184057,"Ken Mauer"
"Tony Brothers",47,"Technical",22,0.468085106382979,0.240835552386347,0.943588069721866,0.355937372199893,"Tony Brothers"
"Rodney Mott",48,"Technical",21,0.4375,0.240835552386347,0.816592258347994,0.159523928154228,"Rodney Mott"
"Scott Foster",44,"Offensive",7,0.159090909090909,0.0885186864460105,0.797257906531884,0.26007933796842,"Scott Foster"
"Ben Taylor",49,"Technical",21,0.428571428571429,0.240835552386347,0.779518946953137,0.477745758715786,"Ben Taylor"
"Kane Fitzgerald",41,"Loose ball",49,1.19512195121951,0.681468775345121,0.753744257195436,0.440011681598828,"Kane Fitzgerald"
"Karl Lane",52,"Offensive",8,0.153846153846154,0.0885186864460105,0.738007645876987,-0.0743947520423768,"Karl Lane"
"Sean Corbin",47,"Offensive",7,0.148936170212766,0.0885186864460105,0.682539316753253,0.266135685555513,"Sean Corbin"
"James Williams",45,"Def. 3 secs",9,0.2,0.118978400034626,0.680977387002969,0.110649740540963,"James Williams"
"Mark Lindsay",30,"Def. 3 secs",6,0.2,0.118978400034626,0.680977387002969,0.183071883270505,"Mark Lindsay"
"James Williams",45,"Technical",17,0.377777777777778,0.240835552386347,0.568612997684617,0.110649740540963,"James Williams"
"Scott Foster",44,"Loose ball",47,1.06818181818182,0.681468775345121,0.567469936741932,0.26007933796842,"Scott Foster"
"Scott Wall",45,"Off. charge",26,0.577777777777778,0.37304410415833,0.548818950191887,-0.00113243705699691,"Scott Wall"
"Mark Lindsay",30,"Offensive",4,0.133333333333333,0.0885186864460105,0.506273293093389,0.183071883270505,"Mark Lindsay"
"Tyler Ford",45,"Offensive",6,0.133333333333333,0.0885186864460105,0.506273293093389,0.254300662867106,"Tyler Ford"
"Rodney Mott",48,"Loose ball",49,1.02083333333333,0.681468775345121,0.497989886354435,0.159523928154228,"Rodney Mott"
"Tyler Ford",45,"Loose ball",45,1,0.681468775345121,0.467418664183936,0.254300662867106,"Tyler Ford"
"Scott Foster",44,"Off. charge",24,0.545454545454545,0.37304410415833,0.462171736195138,0.26007933796842,"Scott Foster"
"Kane Fitzgerald",41,"Def. 3 secs",7,0.170731707317073,0.118978400034626,0.434980696222047,0.440011681598828,"Kane Fitzgerald"
"Courtney Kirkland",45,"Loose ball",44,0.977777777777778,0.681468775345121,0.434809360535404,-0.028034642381387,"Courtney Kirkland"
"Sean Wright",45,"Personal",267,5.93333333333333,4.22352125520297,0.404830939591942,0.0871244013820671,"Sean Wright"
"Josh Tiven",54,"Technical",18,0.333333333333333,0.240835552386347,0.384070292074662,-0.127243121114654,"Josh Tiven"
"Ben Taylor",49,"Def. 3 secs",8,0.163265306122449,0.118978400034626,0.372226438369771,0.477745758715786,"Ben Taylor"
"Tony Brothers",47,"Off. charge",24,0.51063829787234,0.37304410415833,0.368841625374172,0.355937372199893,"Tony Brothers"
"Curtis Blair",53,"Off. charge",27,0.509433962264151,0.37304410415833,0.365613225314327,0.0434214044346208,"Curtis Blair"
"Scott Foster",44,"Technical",14,0.318181818181818,0.240835552386347,0.321158006071268,0.26007933796842,"Scott Foster"
"Brent Barnaky",45,"Off. charge",22,0.488888888888889,0.37304410415833,0.310539111700828,-0.229260187984232,"Brent Barnaky"
"Kevin Cutler",43,"Off. charge",21,0.488372093023256,0.37304410415833,0.309153763802624,-0.111405402964357,"Kevin Cutler"
"Sean Wright",45,"Loose ball",40,0.888888888888889,0.681468775345121,0.304372145941277,0.0871244013820671,"Sean Wright"
"Brian Forte",52,"Offensive",6,0.115384615384615,0.0885186864460105,0.30350573440774,-0.118729547251908,"Brian Forte"
"James Capers",52,"Loose ball",46,0.884615384615385,0.681468775345121,0.298101126008867,0.0593760708651692,"James Capers"
"James Capers",52,"Off. charge",25,0.480769230769231,0.37304410415833,0.288773164915587,0.0593760708651692,"James Capers"
"Ed Malloy",44,"Offensive",5,0.113636363636364,0.0885186864460105,0.283755647522774,-0.164431122256461,"Ed Malloy"
"Curtis Blair",53,"Offensive",6,0.113207547169811,0.0885186864460105,0.278911286588726,0.0434214044346208,"Curtis Blair"
"James Capers",52,"Technical",16,0.307692307692308,0.240835552386347,0.277603346530457,0.0593760708651692,"James Capers"
"John Goble",49,"Off. charge",23,0.469387755102041,0.37304410415833,0.258263432848197,-0.0916506103157963,"John Goble"
"Courtney Kirkland",45,"Offensive",5,0.111111111111111,0.0885186864460105,0.255227744244491,-0.028034642381387,"Courtney Kirkland"
"Mark Lindsay",30,"Technical",9,0.3,0.240835552386347,0.245663262867196,0.183071883270505,"Mark Lindsay"
"Kane Fitzgerald",41,"Off. charge",19,0.463414634146341,0.37304410415833,0.242251597011317,0.440011681598828,"Kane Fitzgerald"
"Tom Washington",34,"Def. 3 secs",5,0.147058823529412,0.118978400034626,0.236012784561007,-0.0479063795865843,"Tom Washington"
"Michael Smith",46,"Off. charge",21,0.456521739130435,0.37304410415833,0.223774170511148,0.109938049766203,"Michael Smith"
"JB DeRosa",51,"Off. charge",23,0.450980392156863,0.37304410415833,0.208919768814935,-0.159297686712159,"JB DeRosa"
"Jacyn Goble",45,"Technical",13,0.288888888888889,0.240835552386347,0.199527586464707,-0.18750172746637,"Jacyn Goble"
"Sean Wright",45,"All fouls",731,16.2444444444444,13.5725279707713,0.196862108475826,0.0871244013820671,"Sean Wright"
"Jacyn Goble",45,"Shooting",347,7.71111111111111,6.52798952723841,0.181238278483147,-0.18750172746637,"Jacyn Goble"
"Derrick Collins",50,"Off. charge",22,0.44,0.37304410415833,0.179485200530745,-0.137333094852853,"Derrick Collins"
"Mark Lindsay",30,"Loose ball",24,0.8,0.681468775345121,0.173934931347149,0.183071883270505,"Mark Lindsay"
